,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
3623,2,Not Graduate,Yes,8700000,28400000,12,880,8000000,1800000,19400000,4400000,Approved,42300000,High Middle Class,Platinum,Excellent,Long Term
3624,1,Not Graduate,Yes,800000,2600000,2,439,600000,0,1800000,400000,Approved,3600000,Low Class,Bronze,Very Poor,Short Term
3625,5,Graduate,Yes,7400000,17100000,2,441,14700000,1600000,20600000,10800000,Rejected,55100000,High Middle Class,Gold,Very Poor,Short Term
3626,3,Not Graduate,No,6900000,18500000,6,360,14000000,0,18800000,9600000,Rejected,49300000,High Middle Class,Gold,Very Poor,Intermedate Term
3627,1,Graduate,Yes,8800000,33700000,14,561,10200000,7100000,25700000,11900000,Approved,63700000,High Class,Platinum,Poor,Long Term
3628,2,Graduate,Yes,8600000,32500000,4,758,20900000,600000,18000000,6900000,Approved,55000000,High Middle Class,Platinum,Good,Intermedate Term
3629,2,Graduate,No,5400000,20600000,18,621,11200000,2200000,11600000,5500000,Approved,35900000,Low Middle Class,Gold,Fair,Long Term
3630,4,Graduate,Yes,2900000,5900000,18,621,200000,3100000,8500000,3500000,Approved,18200000,Low Middle Class,Silver,Fair,Long Term
3631,3,Graduate,No,9800000,21000000,12,342,25400000,16600000,26900000,7000000,Rejected,85700000,High Class,Gold,Very Poor,Long Term
3632,4,Graduate,No,3300000,10800000,4,552,4200000,900000,8600000,3300000,Approved,20300000,Low Middle Class,Silver,Poor,Intermedate Term
3633,0,Not Graduate,No,300000,500000,18,376,300000,0,800000,300000,Rejected,1700000,Low Class,Bronze,Very Poor,Long Term
3634,0,Graduate,No,1500000,4300000,12,801,4400000,2200000,3300000,1100000,Approved,12500000,Low Middle Class,Bronze,Excellent,Long Term
3635,3,Not Graduate,Yes,5400000,16300000,4,512,1600000,3400000,13100000,6000000,Approved,29500000,Low Middle Class,Gold,Poor,Intermedate Term
3636,0,Graduate,No,6600000,15200000,18,497,1500000,6900000,14500000,9300000,Rejected,38800000,High Middle Class,Gold,Very Poor,Long Term
3637,0,Graduate,No,5700000,17200000,8,386,4200000,7100000,14400000,2900000,Rejected,34300000,Low Middle Class,Gold,Very Poor,Long Term
3638,3,Not Graduate,Yes,8500000,26100000,2,683,6600000,10400000,24100000,5700000,Approved,55300000,High Middle Class,Platinum,Good,Short Term
3639,0,Graduate,No,7400000,24100000,16,779,800000,2900000,28900000,4900000,Approved,44900000,High Middle Class,Platinum,Good,Long Term
3640,3,Not Graduate,Yes,7800000,17700000,6,876,15600000,15200000,25100000,10800000,Approved,74500000,High Class,Gold,Excellent,Intermedate Term
3641,3,Graduate,Yes,7200000,16500000,18,515,7800000,6300000,17300000,10600000,Rejected,49200000,High Middle Class,Gold,Poor,Long Term
3642,2,Not Graduate,No,7600000,19300000,12,463,5400000,1500000,16000000,9600000,Rejected,40100000,High Middle Class,Gold,Very Poor,Long Term
3643,4,Not Graduate,Yes,7000000,26700000,4,486,10600000,12200000,18800000,6000000,Approved,54600000,High Middle Class,Platinum,Very Poor,Intermedate Term
3644,0,Not Graduate,No,5700000,13000000,6,328,7800000,7500000,20700000,8200000,Rejected,49900000,High Middle Class,Silver,Very Poor,Intermedate Term
3645,2,Not Graduate,No,8200000,30600000,10,343,9800000,11500000,16900000,7000000,Rejected,53400000,High Middle Class,Platinum,Very Poor,Long Term
3646,0,Graduate,Yes,9000000,27800000,8,712,900000,6700000,24400000,5800000,Approved,46800000,High Middle Class,Platinum,Good,Long Term
3647,3,Not Graduate,No,3900000,11900000,6,607,6600000,6000000,8800000,2000000,Approved,27300000,Low Middle Class,Silver,Fair,Intermedate Term
3648,0,Graduate,No,6500000,16200000,4,812,17200000,10700000,20200000,6200000,Approved,60800000,High Class,Gold,Excellent,Intermedate Term
3649,4,Not Graduate,Yes,2300000,7700000,16,589,6000000,4400000,6300000,2300000,Approved,21300000,Low Middle Class,Silver,Poor,Long Term
3650,1,Not Graduate,No,5700000,21800000,18,657,14100000,3200000,21800000,3200000,Approved,48000000,High Middle Class,Gold,Fair,Long Term
3651,4,Not Graduate,No,800000,2800000,12,453,1500000,300000,2900000,600000,Rejected,6100000,Low Class,Bronze,Very Poor,Long Term
3652,4,Not Graduate,Yes,8400000,19700000,14,889,22400000,5800000,22000000,12100000,Approved,70700000,High Class,Gold,Excellent,Long Term
3653,1,Graduate,Yes,4300000,17200000,4,564,10400000,6600000,11500000,2200000,Approved,35000000,Low Middle Class,Gold,Poor,Intermedate Term
3654,1,Not Graduate,Yes,300000,900000,20,419,800000,0,600000,300000,Rejected,2000000,Low Class,Bronze,Very Poor,Long Term
3655,1,Graduate,No,8700000,34000000,16,663,5400000,10700000,17800000,8100000,Approved,50700000,High Middle Class,Platinum,Good,Long Term
3656,1,Not Graduate,No,4400000,12100000,4,884,9800000,6500000,15000000,6000000,Approved,41700000,High Middle Class,Silver,Excellent,Intermedate Term
3657,1,Graduate,Yes,5600000,16800000,16,528,7500000,6500000,12300000,3900000,Rejected,35800000,Low Middle Class,Gold,Poor,Long Term
3658,2,Graduate,No,600000,1300000,12,475,100000,1100000,2300000,600000,Rejected,4700000,Low Class,Bronze,Very Poor,Long Term
3659,4,Not Graduate,Yes,2500000,5100000,20,695,1100000,4100000,6700000,3500000,Approved,17900000,Low Middle Class,Silver,Good,Long Term
3660,5,Not Graduate,No,3800000,10500000,10,759,1800000,6700000,8100000,5300000,Approved,25700000,Low Middle Class,Silver,Good,Long Term
3661,2,Not Graduate,No,2500000,9600000,4,636,900000,1000000,7300000,2000000,Approved,13700000,Low Middle Class,Silver,Fair,Intermedate Term
3662,3,Not Graduate,Yes,5500000,20400000,10,546,10600000,8200000,13500000,4000000,Rejected,41800000,High Middle Class,Gold,Poor,Long Term
3663,5,Graduate,Yes,4500000,17100000,2,639,10600000,7500000,12000000,6500000,Approved,41100000,High Middle Class,Gold,Fair,Short Term
3664,4,Not Graduate,No,1900000,4000000,10,388,500000,1400000,5600000,900000,Rejected,10300000,Low Class,Bronze,Very Poor,Long Term
3665,5,Graduate,Yes,6400000,20000000,12,594,100000,2100000,16500000,5500000,Approved,30600000,Low Middle Class,Gold,Poor,Long Term
3666,1,Not Graduate,Yes,3800000,11100000,6,760,2100000,1800000,8700000,5700000,Approved,22100000,Low Middle Class,Silver,Good,Intermedate Term
3667,4,Not Graduate,Yes,6300000,16900000,16,582,16000000,3600000,23700000,6000000,Approved,55600000,High Middle Class,Gold,Poor,Long Term
3668,3,Not Graduate,No,300000,600000,6,896,300000,400000,600000,400000,Approved,2000000,Low Class,Bronze,Excellent,Intermedate Term
3669,5,Not Graduate,Yes,7100000,21800000,18,891,7000000,0,18900000,4700000,Approved,37700000,High Middle Class,Gold,Excellent,Long Term
3670,2,Not Graduate,Yes,600000,1700000,2,495,1700000,200000,1200000,500000,Rejected,4200000,Low Class,Bronze,Very Poor,Short Term
3671,3,Graduate,Yes,4400000,15300000,16,865,1200000,8400000,15000000,3400000,Approved,32400000,Low Middle Class,Gold,Excellent,Long Term
3672,4,Not Graduate,No,7600000,20800000,12,775,1900000,13600000,19200000,6400000,Approved,48700000,High Middle Class,Gold,Good,Long Term
3673,5,Graduate,Yes,8700000,26400000,10,318,11800000,2900000,23200000,9200000,Rejected,55800000,High Middle Class,Platinum,Very Poor,Long Term
3674,3,Graduate,Yes,5600000,12700000,12,395,8200000,9300000,22000000,6400000,Rejected,51500000,High Middle Class,Silver,Very Poor,Long Term
3675,4,Not Graduate,No,4100000,13100000,14,772,11200000,4200000,10500000,3800000,Approved,33800000,Low Middle Class,Silver,Good,Long Term
3676,2,Not Graduate,Yes,7900000,16100000,18,318,17300000,2900000,29900000,9300000,Rejected,67300000,High Class,Gold,Very Poor,Long Term
3677,3,Not Graduate,Yes,5600000,20900000,14,649,4000000,10700000,13000000,8200000,Approved,41500000,High Middle Class,Gold,Fair,Long Term
3678,3,Not Graduate,No,1200000,3100000,10,438,1500000,2200000,3900000,1000000,Rejected,9800000,Low Class,Bronze,Very Poor,Long Term
3679,5,Graduate,No,6900000,19700000,6,588,9800000,7500000,17100000,7300000,Approved,48600000,High Middle Class,Gold,Poor,Intermedate Term
3680,5,Not Graduate,No,2700000,5600000,2,815,1100000,2000000,7100000,2600000,Approved,15500000,Low Middle Class,Silver,Excellent,Short Term
3681,4,Graduate,Yes,9800000,22100000,4,364,16800000,11100000,26500000,7300000,Rejected,71500000,High Class,Gold,Very Poor,Intermedate Term
3682,2,Not Graduate,No,9300000,32300000,4,586,14300000,6400000,37000000,10400000,Approved,77400000,High Class,Platinum,Poor,Intermedate Term
3683,4,Not Graduate,No,6700000,25300000,12,555,16900000,3600000,23500000,4900000,Approved,55600000,High Middle Class,Platinum,Poor,Long Term
3684,4,Graduate,No,1300000,4600000,10,312,1800000,600000,3100000,800000,Rejected,7600000,Low Class,Bronze,Very Poor,Long Term
3685,2,Graduate,Yes,7900000,17100000,16,605,19200000,14100000,21900000,10400000,Approved,73500000,High Class,Gold,Fair,Long Term
3686,5,Not Graduate,No,6700000,23200000,18,672,1600000,6700000,20800000,5400000,Approved,41200000,High Middle Class,Gold,Good,Long Term
3687,2,Not Graduate,Yes,2100000,4500000,18,591,2500000,500000,5500000,1500000,Approved,12100000,Low Middle Class,Bronze,Poor,Long Term
3688,4,Graduate,Yes,4700000,11000000,4,321,10100000,100000,9600000,6900000,Rejected,31400000,Low Middle Class,Silver,Very Poor,Intermedate Term
3689,2,Graduate,No,3700000,13400000,16,393,6400000,600000,14200000,3500000,Rejected,28400000,Low Middle Class,Silver,Very Poor,Long Term
3690,0,Graduate,Yes,5800000,21800000,2,561,4400000,7200000,15000000,4200000,Approved,36600000,Low Middle Class,Gold,Poor,Short Term
3691,5,Graduate,Yes,2400000,6900000,20,725,1700000,400000,8800000,2400000,Approved,15700000,Low Middle Class,Silver,Good,Long Term
3692,1,Not Graduate,Yes,8100000,27600000,16,438,1000000,10500000,32200000,8000000,Rejected,59800000,High Class,Platinum,Very Poor,Long Term
3693,5,Graduate,Yes,5400000,21400000,12,399,4000000,9700000,12400000,6800000,Rejected,38300000,High Middle Class,Gold,Very Poor,Long Term
3694,0,Graduate,No,1400000,5400000,8,592,4100000,400000,4300000,800000,Approved,11000000,Low Class,Silver,Poor,Long Term
3695,2,Not Graduate,No,2500000,8600000,8,835,2500000,4000000,7700000,1300000,Approved,18000000,Low Middle Class,Silver,Excellent,Long Term
3696,0,Not Graduate,Yes,1600000,5300000,4,733,400000,2100000,5500000,1100000,Approved,10700000,Low Class,Silver,Good,Intermedate Term
3697,0,Not Graduate,No,3700000,10600000,20,484,5800000,1300000,13900000,3500000,Rejected,28200000,Low Middle Class,Silver,Very Poor,Long Term
3698,5,Not Graduate,Yes,500000,1800000,20,615,500000,700000,1100000,300000,Approved,3100000,Low Class,Bronze,Fair,Long Term
3699,3,Not Graduate,Yes,5300000,19500000,4,591,13200000,4700000,19800000,7900000,Approved,50900000,High Middle Class,Gold,Poor,Intermedate Term
3700,0,Graduate,Yes,2800000,6800000,12,349,4100000,2000000,11100000,1400000,Rejected,21400000,Low Middle Class,Silver,Very Poor,Long Term
3701,1,Graduate,Yes,9600000,29900000,18,478,18500000,15200000,38200000,9400000,Rejected,90900000,High Class,Platinum,Very Poor,Long Term
3702,4,Graduate,No,2200000,7800000,20,633,0,3900000,8400000,1900000,Approved,16400000,Low Middle Class,Silver,Fair,Long Term
3703,1,Not Graduate,Yes,8400000,30900000,8,378,18600000,1000000,25900000,11100000,Rejected,65000000,High Class,Platinum,Very Poor,Long Term
3704,1,Not Graduate,No,2100000,5300000,20,461,1500000,3800000,8100000,1700000,Rejected,17200000,Low Middle Class,Silver,Very Poor,Long Term
3705,2,Not Graduate,Yes,2800000,7000000,2,834,500000,2900000,8100000,1300000,Approved,15600000,Low Middle Class,Silver,Excellent,Short Term
3706,0,Not Graduate,No,2500000,5800000,20,671,7400000,500000,7500000,2000000,Approved,19900000,Low Middle Class,Silver,Good,Long Term
3707,3,Graduate,Yes,1700000,5800000,10,524,4100000,2900000,6600000,800000,Rejected,16100000,Low Middle Class,Silver,Poor,Long Term
3708,3,Graduate,No,6100000,20700000,4,816,14900000,5400000,24200000,5900000,Approved,56500000,High Middle Class,Gold,Excellent,Intermedate Term
3709,3,Graduate,No,4100000,11700000,10,729,6900000,6200000,15400000,2100000,Approved,34700000,Low Middle Class,Silver,Good,Long Term
3710,5,Not Graduate,Yes,4500000,12700000,8,307,11000000,3800000,12600000,2700000,Rejected,34600000,Low Middle Class,Silver,Very Poor,Long Term
3711,2,Graduate,Yes,5600000,19100000,8,350,2700000,1200000,14200000,4200000,Rejected,27900000,Low Middle Class,Gold,Very Poor,Long Term
3712,3,Not Graduate,Yes,5800000,16600000,10,444,13300000,5900000,15000000,8500000,Rejected,48500000,High Middle Class,Gold,Very Poor,Long Term
3713,4,Not Graduate,No,8600000,26700000,10,895,2200000,8800000,22600000,6900000,Approved,49100000,High Middle Class,Platinum,Excellent,Long Term
3714,2,Graduate,No,2900000,10500000,20,708,4200000,600000,7700000,4300000,Approved,19700000,Low Middle Class,Silver,Good,Long Term
3715,2,Not Graduate,Yes,8300000,17600000,2,355,1000000,700000,28400000,6800000,Rejected,45200000,High Middle Class,Gold,Very Poor,Short Term
3716,5,Not Graduate,No,2400000,5100000,6,756,1500000,200000,5300000,3400000,Approved,12800000,Low Middle Class,Silver,Good,Intermedate Term
3717,4,Graduate,No,5600000,12000000,4,719,5600000,2900000,14500000,3400000,Approved,32000000,Low Middle Class,Silver,Good,Intermedate Term
3718,1,Graduate,Yes,9500000,35400000,14,439,400000,1200000,20200000,13500000,Rejected,44800000,High Middle Class,Platinum,Very Poor,Long Term
3719,4,Not Graduate,Yes,4900000,15900000,10,668,10800000,8300000,14900000,2800000,Approved,41700000,High Middle Class,Gold,Good,Long Term
3720,4,Not Graduate,Yes,5900000,16500000,2,765,13000000,9400000,20000000,3500000,Approved,51800000,High Middle Class,Gold,Good,Short Term
3721,5,Graduate,Yes,500000,1500000,4,476,200000,200000,1100000,700000,Approved,2700000,Low Class,Bronze,Very Poor,Intermedate Term
3722,3,Graduate,No,7000000,21700000,14,781,5400000,8500000,19300000,9600000,Approved,49800000,High Middle Class,Gold,Excellent,Long Term
3723,1,Not Graduate,No,3500000,12700000,4,350,5200000,6800000,12900000,1800000,Approved,30200000,Low Middle Class,Silver,Very Poor,Intermedate Term
3724,0,Graduate,No,5200000,12200000,16,783,5000000,2000000,11400000,5100000,Approved,28700000,Low Middle Class,Silver,Excellent,Long Term
3725,3,Graduate,Yes,6300000,19900000,12,770,1900000,2400000,15500000,3100000,Approved,29200000,Low Middle Class,Gold,Good,Long Term
3726,2,Not Graduate,No,8400000,28300000,10,822,1800000,16000000,33000000,4400000,Approved,63600000,High Class,Platinum,Excellent,Long Term
3727,1,Not Graduate,Yes,7500000,22500000,14,469,12300000,9600000,16200000,4500000,Rejected,50100000,High Middle Class,Gold,Very Poor,Long Term
3728,2,Graduate,No,3300000,13000000,16,300,5500000,5900000,7400000,3100000,Rejected,25200000,Low Middle Class,Silver,Very Poor,Long Term
3729,2,Not Graduate,No,8800000,22400000,14,692,21700000,5100000,18600000,10900000,Approved,65100000,High Class,Gold,Good,Long Term
3730,5,Graduate,No,200000,700000,18,707,-100000,100000,500000,200000,Approved,900000,Low Class,Bronze,Good,Long Term
3731,5,Not Graduate,Yes,8000000,29100000,4,658,10600000,8600000,28800000,4600000,Approved,60600000,High Class,Platinum,Fair,Intermedate Term
3732,3,Graduate,No,1000000,4000000,6,625,700000,100000,2800000,500000,Approved,5100000,Low Class,Bronze,Fair,Intermedate Term
3733,1,Graduate,No,9400000,26700000,10,343,7600000,2500000,28600000,13200000,Rejected,61300000,High Class,Platinum,Very Poor,Long Term
3734,5,Graduate,No,2100000,7300000,18,358,3700000,3200000,7200000,2200000,Rejected,18400000,Low Middle Class,Silver,Very Poor,Long Term
3735,4,Graduate,Yes,5400000,11500000,20,705,14600000,3800000,13500000,6100000,Approved,43400000,High Middle Class,Silver,Good,Long Term
3736,2,Graduate,Yes,4700000,15100000,8,799,9700000,2500000,10700000,4700000,Approved,32300000,Low Middle Class,Gold,Excellent,Long Term
3737,3,Graduate,No,8800000,33700000,12,397,17300000,16000000,22200000,8800000,Rejected,73100000,High Class,Platinum,Very Poor,Long Term
3738,5,Graduate,No,3200000,12200000,6,493,7700000,6200000,6700000,2100000,Rejected,25900000,Low Middle Class,Silver,Very Poor,Intermedate Term
3739,0,Graduate,Yes,7200000,21900000,4,446,17700000,10900000,24500000,7600000,Approved,67900000,High Class,Gold,Very Poor,Intermedate Term
3740,2,Not Graduate,Yes,2500000,7200000,16,315,5500000,3300000,4900000,2800000,Rejected,19000000,Low Middle Class,Silver,Very Poor,Long Term
3741,5,Not Graduate,Yes,6900000,15700000,14,887,13800000,5300000,25200000,4500000,Approved,55700000,High Middle Class,Gold,Excellent,Long Term
3742,5,Graduate,Yes,5700000,20500000,16,429,2800000,1900000,22400000,3900000,Rejected,36700000,Low Middle Class,Gold,Very Poor,Long Term
3743,4,Graduate,Yes,5500000,15100000,18,673,10500000,8000000,13900000,7200000,Approved,45100000,High Middle Class,Gold,Good,Long Term
3744,4,Not Graduate,Yes,9200000,29100000,10,731,14500000,8300000,35800000,5000000,Approved,72800000,High Class,Platinum,Good,Long Term
3745,5,Graduate,Yes,5700000,11500000,2,732,15800000,3700000,15600000,5300000,Approved,46100000,High Middle Class,Silver,Good,Short Term
3746,5,Graduate,Yes,5000000,16400000,14,525,13000000,9100000,15300000,3300000,Rejected,45700000,High Middle Class,Gold,Poor,Long Term
3747,4,Not Graduate,No,2300000,5500000,6,343,-100000,4100000,4800000,3200000,Rejected,14300000,Low Middle Class,Silver,Very Poor,Intermedate Term
3748,0,Not Graduate,Yes,3000000,11000000,16,331,8000000,4500000,6600000,2400000,Rejected,24500000,Low Middle Class,Silver,Very Poor,Long Term
3749,0,Not Graduate,No,7900000,26200000,18,845,14200000,14700000,27400000,6300000,Approved,70500000,High Class,Platinum,Excellent,Long Term
3750,2,Graduate,No,2000000,6200000,16,696,4100000,600000,5400000,1300000,Approved,13400000,Low Middle Class,Silver,Good,Long Term
3751,5,Not Graduate,No,2700000,8700000,14,772,2200000,2800000,7600000,3700000,Approved,19000000,Low Middle Class,Silver,Good,Long Term
3752,3,Graduate,Yes,6400000,15800000,18,628,6900000,2700000,24800000,5300000,Approved,46100000,High Middle Class,Gold,Fair,Long Term
3753,0,Not Graduate,Yes,8200000,19100000,2,764,22900000,8900000,20500000,4000000,Approved,64500000,High Class,Gold,Good,Short Term
3754,1,Graduate,No,2800000,6900000,14,553,400000,4900000,6800000,4200000,Approved,19100000,Low Middle Class,Silver,Poor,Long Term
3755,1,Not Graduate,No,8900000,20000000,2,653,12700000,600000,17800000,9900000,Approved,49900000,High Middle Class,Gold,Fair,Short Term
3756,1,Not Graduate,No,5100000,20000000,4,506,7900000,8900000,20300000,6700000,Approved,48900000,High Middle Class,Gold,Poor,Intermedate Term
3757,3,Graduate,No,2800000,8500000,20,431,6200000,1700000,7800000,2200000,Rejected,20700000,Low Middle Class,Silver,Very Poor,Long Term
3758,2,Not Graduate,Yes,6100000,12300000,18,697,14100000,9100000,12600000,3500000,Approved,45400000,High Middle Class,Silver,Good,Long Term
3759,2,Not Graduate,No,8400000,24500000,6,588,11000000,1300000,22900000,10400000,Approved,54000000,High Middle Class,Platinum,Poor,Intermedate Term
3760,1,Not Graduate,No,1600000,5600000,6,846,600000,2800000,4600000,1200000,Approved,10800000,Low Class,Silver,Excellent,Intermedate Term
3761,5,Graduate,No,4100000,11000000,14,379,6200000,1700000,8500000,5400000,Rejected,25900000,Low Middle Class,Silver,Very Poor,Long Term
3762,1,Not Graduate,No,300000,700000,10,745,0,0,900000,100000,Approved,1300000,Low Class,Bronze,Good,Long Term
3763,3,Graduate,No,9600000,34500000,20,523,26100000,2600000,24300000,5300000,Rejected,67900000,High Class,Platinum,Poor,Long Term
3764,4,Graduate,Yes,8300000,25400000,4,624,22900000,4000000,24800000,5400000,Approved,65400000,High Class,Platinum,Fair,Intermedate Term
3765,1,Graduate,No,4600000,16700000,16,407,13000000,6000000,9800000,2800000,Rejected,36200000,Low Middle Class,Gold,Very Poor,Long Term
3766,3,Not Graduate,Yes,5600000,11600000,12,756,3300000,1800000,18400000,7800000,Approved,36900000,High Middle Class,Silver,Good,Long Term
3767,3,Graduate,Yes,4100000,8300000,16,351,6000000,100000,11100000,2200000,Rejected,23500000,Low Middle Class,Silver,Very Poor,Long Term
3768,3,Not Graduate,No,3700000,13400000,18,373,2800000,100000,13200000,2500000,Rejected,22300000,Low Middle Class,Silver,Very Poor,Long Term
3769,4,Not Graduate,Yes,800000,2400000,2,461,1300000,1300000,2300000,300000,Approved,6000000,Low Class,Bronze,Very Poor,Short Term
3770,4,Graduate,No,8100000,28100000,12,672,5600000,9200000,17200000,9500000,Approved,49600000,High Middle Class,Platinum,Good,Long Term
3771,2,Graduate,Yes,2700000,9500000,10,434,2700000,1500000,8100000,1800000,Rejected,16800000,Low Middle Class,Silver,Very Poor,Long Term
3772,2,Not Graduate,Yes,7000000,21400000,12,541,3700000,1300000,19800000,9600000,Rejected,41400000,High Middle Class,Gold,Poor,Long Term
3773,3,Not Graduate,Yes,8100000,29300000,2,413,8100000,15100000,25500000,6400000,Approved,63200000,High Class,Platinum,Very Poor,Short Term
3774,1,Graduate,No,3200000,7600000,4,592,3000000,1400000,8100000,4700000,Approved,20400000,Low Middle Class,Silver,Poor,Intermedate Term
3775,4,Not Graduate,Yes,400000,1400000,10,665,300000,300000,1500000,200000,Approved,2700000,Low Class,Bronze,Good,Long Term
3776,1,Graduate,No,7800000,23900000,4,313,2600000,15300000,23000000,10900000,Approved,59600000,High Class,Platinum,Very Poor,Intermedate Term
3777,0,Not Graduate,No,5800000,19600000,14,673,8900000,10700000,18000000,7200000,Approved,50600000,High Middle Class,Gold,Good,Long Term
3778,0,Not Graduate,Yes,2600000,6000000,8,382,1700000,2200000,8200000,1600000,Rejected,16300000,Low Middle Class,Silver,Very Poor,Long Term
3779,5,Not Graduate,No,5400000,21100000,12,661,15800000,10400000,20100000,5400000,Approved,57100000,High Middle Class,Gold,Good,Long Term
3780,3,Graduate,Yes,600000,1700000,4,576,400000,100000,2100000,500000,Approved,3700000,Low Class,Bronze,Poor,Intermedate Term
3781,1,Graduate,No,600000,1200000,14,443,700000,1000000,2200000,800000,Rejected,5300000,Low Class,Bronze,Very Poor,Long Term
3782,5,Graduate,Yes,9500000,21700000,16,307,27500000,2700000,28500000,9700000,Rejected,77900000,High Class,Gold,Very Poor,Long Term
3783,4,Graduate,Yes,1900000,4800000,12,656,1500000,1600000,5400000,1700000,Approved,12100000,Low Middle Class,Bronze,Fair,Long Term
3784,1,Graduate,Yes,9800000,21200000,4,885,18000000,16400000,37300000,10800000,Approved,92300000,High Class,Gold,Excellent,Intermedate Term
3785,3,Graduate,No,7800000,16600000,20,896,12400000,10800000,30500000,5500000,Approved,67000000,High Class,Gold,Excellent,Long Term
3786,5,Not Graduate,No,4900000,14100000,2,802,3300000,7500000,16100000,2700000,Approved,34500000,Low Middle Class,Silver,Excellent,Short Term
3787,3,Graduate,Yes,8300000,22700000,2,650,3600000,16000000,18000000,5800000,Approved,51700000,High Middle Class,Gold,Fair,Short Term
3788,4,Not Graduate,Yes,3900000,8900000,10,665,9300000,4000000,9200000,5300000,Approved,31700000,Low Middle Class,Silver,Good,Long Term
3789,2,Graduate,No,9000000,35700000,12,339,15200000,8400000,19500000,9000000,Rejected,61100000,High Class,Platinum,Very Poor,Long Term
3790,1,Not Graduate,No,9600000,32400000,20,447,15400000,18400000,19800000,4700000,Rejected,67900000,High Class,Platinum,Very Poor,Long Term
3791,5,Not Graduate,Yes,1000000,2400000,18,613,1600000,1300000,2600000,600000,Approved,7100000,Low Class,Bronze,Fair,Long Term
3792,5,Graduate,No,2800000,7200000,16,424,900000,5000000,6100000,3200000,Rejected,18000000,Low Middle Class,Silver,Very Poor,Long Term
3793,2,Not Graduate,No,8300000,20800000,6,667,19300000,4100000,25400000,6800000,Approved,63900000,High Class,Gold,Good,Intermedate Term
3794,4,Not Graduate,Yes,6900000,18300000,18,715,8200000,600000,15000000,7500000,Approved,38200000,High Middle Class,Gold,Good,Long Term
3795,5,Not Graduate,Yes,3800000,9100000,18,654,9000000,4000000,10200000,3000000,Approved,30000000,Low Middle Class,Silver,Fair,Long Term
3796,2,Not Graduate,No,8000000,17800000,20,549,2400000,9700000,27400000,10800000,Rejected,58300000,High Middle Class,Gold,Poor,Long Term
3797,4,Graduate,Yes,9800000,29700000,4,373,11100000,5500000,37800000,10000000,Approved,74200000,High Class,Platinum,Very Poor,Intermedate Term
3798,0,Graduate,Yes,2900000,7200000,16,332,3600000,5700000,7600000,3600000,Rejected,23400000,Low Middle Class,Silver,Very Poor,Long Term
3799,4,Graduate,No,7900000,31500000,20,534,12400000,8500000,21600000,6400000,Rejected,56800000,High Middle Class,Platinum,Poor,Long Term
3800,3,Not Graduate,No,4600000,17900000,8,396,10700000,4000000,12300000,2600000,Rejected,34200000,Low Middle Class,Gold,Very Poor,Long Term
3801,2,Graduate,No,1000000,3700000,18,892,2200000,800000,3000000,500000,Approved,7500000,Low Class,Bronze,Excellent,Long Term
3802,5,Graduate,No,9000000,21300000,14,602,3400000,7700000,35400000,11000000,Approved,66500000,High Class,Gold,Fair,Long Term
3803,0,Graduate,Yes,9400000,36100000,10,615,21200000,3800000,27400000,9100000,Approved,70900000,High Class,Platinum,Fair,Long Term
3804,5,Graduate,Yes,7400000,23300000,20,482,15700000,3600000,29100000,6800000,Rejected,62600000,High Class,Gold,Very Poor,Long Term
3805,0,Graduate,No,6600000,20100000,16,397,19200000,7000000,17200000,8400000,Rejected,58400000,High Middle Class,Gold,Very Poor,Long Term
3806,0,Not Graduate,No,1300000,3400000,10,464,1200000,200000,3500000,1400000,Rejected,7600000,Low Class,Bronze,Very Poor,Long Term
3807,0,Graduate,Yes,1100000,3400000,14,832,3200000,200000,4400000,1600000,Approved,10500000,Low Class,Bronze,Excellent,Long Term
3808,5,Graduate,No,9200000,34800000,12,802,22000000,11000000,19800000,12500000,Approved,74500000,High Class,Platinum,Excellent,Long Term
3809,2,Graduate,No,7000000,23900000,18,628,13400000,6600000,25200000,7200000,Approved,59400000,High Class,Platinum,Fair,Long Term
3810,4,Graduate,No,5100000,18800000,10,694,6400000,5300000,13500000,4100000,Approved,34400000,Low Middle Class,Gold,Good,Long Term
3811,1,Not Graduate,Yes,3200000,9300000,20,741,3800000,3500000,6900000,2300000,Approved,19700000,Low Middle Class,Silver,Good,Long Term
3812,1,Not Graduate,Yes,3700000,10900000,14,748,3700000,2800000,13200000,4100000,Approved,27500000,Low Middle Class,Silver,Good,Long Term
3813,5,Graduate,No,3600000,12800000,4,320,2500000,2900000,12600000,2900000,Approved,24500000,Low Middle Class,Silver,Very Poor,Intermedate Term
3814,1,Graduate,No,5600000,11700000,10,774,11000000,4300000,13100000,6500000,Approved,40500000,High Middle Class,Silver,Good,Long Term
3815,0,Not Graduate,Yes,9500000,32000000,2,500,8300000,9700000,24500000,5600000,Approved,57600000,High Middle Class,Platinum,Very Poor,Short Term
3816,4,Not Graduate,No,1500000,4000000,18,706,0,2700000,4400000,1700000,Approved,10300000,Low Class,Bronze,Good,Long Term
3817,4,Not Graduate,No,7400000,18300000,10,601,16400000,12600000,28800000,6100000,Approved,71300000,High Class,Gold,Fair,Long Term
3818,2,Graduate,No,6000000,17400000,16,806,1800000,2100000,20200000,3500000,Approved,33600000,Low Middle Class,Gold,Excellent,Long Term
